año,escuela,estado,municipio,comunidad,riesgo,longitud,latitud
2014.0,Otras,Oaxaca,San Baltazar Yatzachi El Bajo,San Baltazar Yatzachi El Bajo,bajo,-96.22,17.23
2014.0,,Nayarit,San Blas,Aticama,alto,-105.2,21.48
2014.0,Preescolar Horacio Castellanos Solorzano,Chiapas,San Cristóbal de las Casas,Yashtinin,medio,-92.444156,16.654427
2014.0,,Guanajuato,San Felipe,Coecillo,medio,-101.27,21.41
2014.0,Otras,Oaxaca,San Jose Chiltepec,Tierra Negra,alto,-96.16,17.95
2014.0,,Mexico,San Jose del Rincon,El Porvenir,bajo,-100.09,19.72
2014.0,Luis Echeverria Alvarez ,Chiapas,San Juan Cancuc,Chijil,medio,-92.378054,16.942656
2014.0,,Chiapas,San Juan Cancuc,Chacte,alto,-92.35,16.94
2014.0,,Chiapas,San Juan Cancuc,Cruzton,alto,-92.44,16.95
2014.0,,Chiapas,San Juan Cancuc,Iwiltic,bajo,-92.43,16.98
2014.0,,Chiapas,San Juan Cancuc,Oniltic,alto,-92.39,16.97
2014.0,,Chiapas,San Juan Cancuc,San Jose Chacte,alto,-92.35,16.94
2014.0,,Chiapas,San Juan Cancuc,Tzajalucum,alto,-92.4,16.99
2014.0,,Chiapas,San Juan Cancuc,Tzemen,alto,-92.4,16.96
2014.0,Esc. Prim. Fray Matias de Córdova y Ordóñez,Chiapas,San Juan Cancuc,Yanchen,bajo,-92.36,16.86
2014.0,Otras,Chiapas,San Juan Cancuc,Nichteel,alto,-92.43,16.95
2014.0,Otras,Chiapas,San Juan Cancuc,Nichteel,bajo,-92.43,16.95
2014.0,Otras,Chiapas,San Juan Cancuc,Oniltic,alto,-92.39,16.97
2014.0,Otras,Chiapas,San Juan Cancuc,Rio Tanateel,medio,-92.3702639268516,16.886120916988
2014.0,,Chiapas,San Juan Chamula,Agil,bajo,-92.76,16.78
2014.0,,Chiapas,San Juan Chamula,Bashequen,medio,-92.61,16.88
2014.0,,Chiapas,San Juan Chamula,Arvenza Dos,bajo,-92.71,16.79
2014.0,,Chiapas,San Juan Chamula,Ichinton,bajo,-92.68,16.76
2014.0,,Chiapas,San Juan Chamula,Ichilho,alto,-92.64,16.87
2014.0,,Durango,San Juan de Guadalupe,Cipriano,bajo,-102.65,24.55
2014.0,Otras,Oaxaca,San Juan Mixtepec Distrito 08,Yucumi,alto,-97.79,17.25
2014.0,,Oaxaca,San Lucas Ojitlan,Arroyo Caracol Ideal (Nuevo),alto,-96.37,18.1
2014.0,Otras,Oaxaca,San Lucas Ojitlan,Amado Nervo,alto,-96.3,17.97
2014.0,,Guerrero,San Marcos,Ocotillo,alto,-99.4,16.95
2014.0,,Guerrero,San Marcos,Vista Alegre,bajo,-99.25,16.78
2014.0,,Guerrero,San Marcos,Las Lomitas de Papagayo,alto,-99.6,16.7
2014.0,,Jalisco,San Martin de Hidalgo,San Jeronimo,bajo,-103.98,20.4
2014.0,Otras,Oaxaca,San Mateo Pinas,San Pedro Cafetitlan,alto,-96.3363983797916,16.0040958289868
2014.0,Otras,Oaxaca,San Miguel Amatitlan,La Laguna (El Columpio),alto,-98.01,17.91
2014.0,Otras,Oaxaca,San Miguel Amatlan,Cuajimoloyas (San Antonio Cuajimoloyas),medio,-96.45,17.12
2014.0,,Oaxaca,San Miguel del Puerto,Puente Copalita (Barra de Copalita),medio,-96.06,15.82
2014.0,,Oaxaca,San Miguel Peras,El Manzanito,alto,-96.96,16.96
2014.0,,Oaxaca,San Pablo Cuatro Venados,Rio Minas,bajo,-96.86,17
2014.0,,Coahuila,San Pedro,El Venado,bajo,-103.04,25.72
2014.0,,Oaxaca,Santa Ana Zegache,San Jeronimo Zegache,bajo,-96.75,16.85
2014.0,,Oaxaca,Santa Cruz Zenzontepec,El Jicaral,alto,-97.47,16.52
2014.0,,Oaxaca,Santa Ines de Zaragoza,La Paz,medio,-97.15,17.29
2014.0,,Chihuahua,Santa Isabel,San Miguel de Los Anchondo,bajo,-106.25,28.26
2014.0,,San Luis Potosi,Santa Maria del Rio,El Tule,alto,-100.66,21.66
2014.0,,San Luis Potosi,Santa Maria del Rio,Puerto la Campana,alto,-100.74,21.78
2014.0,,Oaxaca,Santa Maria Nativitas,San Pedro Buenavista,alto,-97.31,17.64
2014.0,Otras,Oaxaca,Santa Maria Tepantlali,Orilla Del Mar,bajo,-95.96,16.99
2014.0,,Oaxaca,Santa Maria Yucuhiti,San Felipe de Jesus Pueblo Viejo,alto,-97.78,17.03
2014.0,,Nayarit,Santiago Ixcuintla,"La Higuerita (La Escondida, Paso Real)",bajo,-105.54,21.9
2014.0,Otras,Nayarit,Santiago Ixcuintla,Puerta de Mangos,alto,-105.33,21.72
2014.0,,Oaxaca,Santiago Jamiltepec,San Jose de Las Flores,alto,-97.74,16.4
2014.0,,Oaxaca,Santiago Laollaga,Guichixu (Guichixu de Diaz Ordaz),bajo,-95.29,16.69
2014.0,,Durango,Santiago Papasquiaro,El Cazadero,bajo,-105.45,25.07
2014.0,,Oaxaca,Santiago Suchilquitongo,Santo Domingo Tlaltinango,bajo,-96.85,17.24
2014.0,,Oaxaca,Santiago Tilantongo,El Progreso,alto,-97.32,17.32
2014.0,,Oaxaca,Santiago Tilantongo,General Vicente Guerrero,bajo,-97.34,17.19
2014.0,,Oaxaca,Santo Domingo Teojomulco,Llano Verde,alto,-97.36,16.57
2014.0,Otras,Chihuahua,Saucillo,Estacion Conchos,bajo,-105.29703694931,28.0411111987804
2014.0,,Chiapas,Siltepec,La Pinada,alto,-92.4,15.53
2014.0,,Chiapas,Simojovel,Carmen Grande Belmonte,alto,-92.56,17.12
2014.0,,Chiapas,Simojovel,San Antonio el Naranjal,alto,-92.64,17.08
2014.0,Belisario Dominguez Palencia,Chiapas,Sitalá,San Antonio Los Alpes,bajo,-92.36,17.03
2014.0,,Chiapas,Sitalá,Don Pedro,alto,-92.32028,17.01611
2014.0,,Chiapas,Sitalá,La Merced,alto,-92.32,17.04
2014.0,,Chiapas,Sitalá,La Merced,medio,-92.32,17.04
2014.0,,Chiapas,Sitalá,Pomiltic,alto,-92.34,17.06
2014.0,,Chiapas,Sitalá,Santa Cruz La Reforma,alto,-92.3716553760195,17.0346868507557
2014.0,,Chiapas,Sitalá,Sitala,alto,-92.31,17.02
2014.0,Otras,Chiapas,Sitalá,Don Pedro,medio,-92.32028,17.01611
2014.0,,Chiapas,Socoltenango,Anexo Las Rosas De Guadalupe,medio,-92.34,16.15
2014.0,,Chiapas,Solosuchiapa,San Antonio,alto,-93.01,17.41
2014.0,,Chiapas,Solosuchiapa,El Naranjo,alto,-93.02,17.32
2014.0,,Mexico,Soyaniquilpan de Juarez,Quinta Manzana de San Jose Deguedo,bajo,-99.52,20.08
2014.0,,Michoacan,Susupuato,Manzanillo,bajo,-100.45,19.17
2014.0,,Tabasco,Tacotalpa,Cuitlahuac,medio,-92.73088,17.35707
2014.0,,Tabasco,Tacotalpa,Cuitlahuac,alto,-92.73088,17.35707
2014.0,,Tabasco,Tacotalpa,Cuitlahuac,medio,-92.73088,17.35707
2014.0,,Tabasco,Tacotalpa,Cuviac,alto,-92.73,17.4
2014.0,,Veracruz,Tatahuicapan de Juarez,Ocotal,alto,-94.81,18.28
2014.0,,Veracruz,Tatahuicapan de Juarez,Ocotal,alto,-94.81,18.28
2014.0,,Veracruz,Tatahuicapan de Juarez,Tatahuicapan de Juarez,medio,-94.76,18.25
